,sample_id,mol_smiles,conductivity
1028,9425,COCC(CNCC(CF)OC(=O)[Au])O[Cu],7.57483378879945e-05
4133,9426,O=C(CCNC(=O)COC(=O)[Au])NCCN[Cu],6.95204068467808e-05
1757,9427,NC(=O)C(COC(=O)[Au])NC(=O)CCO[Cu],0.0001043785403146
1984,9428,CC(COC(=O)[Au])COC(=O)C(C)(C)CO[Cu],2.65332476011332e-05
2228,9429,COC(=O)CC(=O)NC(CO[Cu])COC(=O)[Au],3.84988098878134e-05
3885,9430,COC(=O)CC(=O)NCC(CO[Cu])OC(=O)[Au],4.10560840611088e-05
5241,9431,CC(O[Cu])C(=O)NC(C)C(C)(C)OC(=O)[Au],2.7745528800844106e-05
3122,9432,CC(CCN(C)C(=O)CCN[Cu])OC(=O)[Au],3.18092716533172e-05
2754,9433,CC(CNC(COC(=O)[Au])C(N)=O)O[Cu],8.46115612877698e-05
3799,9434,CC(C)NC(=O)NCC(COC(=O)[Au])O[Cu],7.249901709937191e-05
1327,9435,CC(CO[Cu])(COC(=O)[Au])NC(=O)CC#N,5.64006900318804e-05
3495,9436,CSCC(CNCC(C)O[Cu])OC(=O)[Au],6.82220274100565e-05
5826,9437,C#CCC(N[Cu])C(=O)NCCNC(=O)[Au],7.15946209467106e-05
416,9438,CCCN(CC(C)OC(=O)[Au])C(C)CO[Cu],3.38757226376175e-05
3627,9439,COCCC(COC(=O)[Au])NC(=O)CCO[Cu],6.46059039084927e-05
3358,9440,CC(CN(C)CC(C)(O[Cu])C(F)F)OC(=O)[Au],8.85425379302559e-05
1603,9441,CCN(CCCCO[Cu])CCNC(=O)[Au],0.0001187918706584
3413,9442,CCOCCNC(=O)C(CO[Cu])NC(=O)[Au],6.72755124857046e-05
2315,9443,CCCN(CCO[Cu])CCC(C)(C)OC(=O)[Au],5.65317304450335e-05
4732,9444,CCCC(CC)NCC(COC(=O)[Au])O[Cu],1.52700045921755e-05
