,monomer_smiles,duplicate,iteration_num,failed,temperature_k,concentration_actual_molal,conductivity_s_per_cm,anion_diffusivity_cm2_per_s,cation_diffusivity_cm2_per_s,polymer_diffusivity_cm2_per_s,transference_number,transference_number_ne,conductivity_ne_s_per_cm,density_g_per_cm3
0,*ONCCOC*,False,1,False,353.0,1.420547,0.00204128486,3.5921835e-07,2.79583724e-07,2.87652794e-07,0.420778608,0.43962652599999996,0.0026850127200000002,1.31347572
1,*OCCOC*,False,1,False,353.0,1.4327557,0.00151498845,2.49350166e-07,1.9395373700000002e-07,2.50529398e-07,0.416883393,0.43816638,0.0018580680900000001,1.3016363
2,*OC*,False,1,True,,,,,,,,,,
3,*NCCOCCN*,False,1,False,353.0,1.4638605,0.000727589718,1.1740018800000001e-07,9.14954888e-08,1.143803622e-07,0.42686027800000004,0.435994648,0.0008407228820000001,1.2309414
4,*OCCCN*,False,1,False,353.0,1.4517907,0.00080939211,1.8812396800000001e-07,1.8066772199999998e-07,1.8250519e-07,0.46083038400000004,0.48983666000000003,0.0014700079399999999,1.22635316
5,*OCCC(=O)*,False,1,True,,,,,,,,,,
6,*SCCOCCCN*,False,1,False,353.0,1.3945222,0.00099064744,2.1667716400000001e-07,1.79298826e-07,2.17014864e-07,0.432168476,0.452809398,0.001605548,1.28364242
7,*C(=O)*,False,1,True,,,,,,,,,,
8,*CNC*,False,1,False,353.0,1.4970582,0.000321426502,6.25055746e-08,4.4049613e-08,6.56225834e-08,0.40022341600000005,0.4132842520000001,0.000406655816,1.14906182
9,*NCCNCCN*,False,1,False,353.0,1.4779109,0.000335845836,5.714582019999999e-08,4.30229506e-08,5.6638283399999995e-08,0.41988248200000006,0.426803488,0.000394607634,1.19702138
10,*OCCOCCN*,False,1,False,353.0,1.4500748,0.001491022,2.695011575e-07,2.189967025e-07,2.730919325e-07,0.4327710425,0.4513649025,0.002010526475,1.2673063500000001
11,*OCCOCCO*,False,1,False,353.0,1.4365463,0.00090820354,3.50136895e-07,2.89656275e-07,3.626391625e-07,0.1490682455,0.4533087475,0.002689777275,1.30311385
12,*SCCNCCN*,False,1,False,353.0,1.4621791,0.000516190136,9.34599802e-08,6.062123840000001e-08,1.1121187179999999e-07,0.384901196,0.398543936,0.0006537550660000001,1.2989319
13,*OCC(=O)*,False,1,True,,,,,,,,,,
14,*OCC(C)N*,False,1,False,353.0,1.4840248,0.000558019708,1.5848583e-07,1.09955421e-07,1.37063962e-07,0.32615779,0.413643394,0.00107381807,1.21181662
15,*OC(=O)CN*,False,1,True,,,,,,,,,,
16,*C(C)N*,False,1,False,353.0,1.3760287,5.4113094400000005e-05,4.68181664e-08,3.9171096999999995e-08,4.13743448e-08,-0.1131160422,0.45531730800000003,0.00031161772,1.1583743800000001
17,*OCCOCCCN*,False,1,False,353.0,1.4776187,0.001065605186,2.1505311199999997e-07,1.7623156199999999e-07,2.06898886e-07,0.42372519200000003,0.45018182199999995,0.00158279072,1.22916932
18,*OCCOCN*,False,1,True,,,,,,,,,,
19,*COCCCN*,False,1,False,353.0,1.4522797,0.0006647188599999999,1.29774649e-07,1.077065778e-07,1.35271208e-07,0.43388000799999993,0.452037262,0.00092331449,1.19589334
20,*OCCN*,False,1,True,,,,,,,,,,
21,*OCCNCCN*,False,1,False,353.0,1.4638605,0.000667577824,1.22716658e-07,8.65191278e-08,1.28532144e-07,0.389792358,0.410130046,0.0008408860340000001,1.22943496
22,*OCC(=O)O*,False,1,True,,,,,,,,,,
23,*CSCCN*,False,1,False,353.0,1.491341,0.000802304706,1.80897826e-07,2.174485e-07,1.9314346400000001e-07,0.482247102,0.5430538979999999,0.0017570998800000002,1.3317291
24,*SCCC*,False,1,False,353.0,1.4633089,3.727645775e-05,2.104200425e-07,3.3102724e-07,2.856173675e-07,2.39207715,0.6115906275,0.00225724275,1.2759040499999998
25,*OCC(=O)N*,False,1,True,,,,,,,,,,
26,*COCC(=O)*,False,1,True,,,,,,,,,,
27,*C(C)OCCN*,False,1,False,353.0,1.4084080000000003,0.00041450318333333336,1.1560082666666667e-07,6.449646666666667e-08,1.0449957333333334e-07,0.28609369333333334,0.3636122766666667,0.0006829173066666667,1.1921522666666666
28,*OCCCOCCN*,False,1,False,353.0,1.4776187,0.00144907264,2.8439488799999996e-07,1.91536274e-07,2.48640626e-07,0.3790524,0.40218758,0.00192453636,1.2287877999999999
29,*NOCCCNCN*,False,1,False,353.0,1.4775689,0.00032588836600000004,6.50612606e-08,6.11318266e-08,6.74748048e-08,0.46345921199999995,0.48564512400000004,0.0005281250019999999,1.27171622
30,*COCCN*,False,1,False,353.0,1.4517907,0.0008962858225,1.348685175e-07,1.36607645e-07,1.517378375e-07,0.49274439000000003,0.501766555,0.0011015462575,1.24843685
31,*C(C)SCCN*,False,1,False,353.0,1.4078094000000003,0.0003518584333333334,1.3982986333333333e-07,1.5827061333333333e-07,1.5311423e-07,0.32589407666666664,0.53169546,0.0011898268999999998,1.2550882666666667
32,*NCCCN*,False,1,False,353.0,1.4713384,0.00039176547000000005,6.962428339999999e-08,4.835146620000001e-08,6.32109344e-08,0.408084328,0.416439726,0.00045594729399999997,1.17785812
33,*SCCN*,False,1,False,353.0,1.4442658,0.0007014564666666667,1.1778927833333333e-07,1.16157635e-07,1.2432776999999999e-07,0.46830098000000003,0.4947570633333333,0.0010688608,1.4107457333333333
34,*OCCC*,True,1,False,,,,,,,,,,
35,*C*,False,1,False,353.0,1.4547422,0.0,3.63435218e-07,4.79959738e-07,,,0.57159231,0.00267335018,0.973875168
36,*CCOC(=O)*,False,1,True,,,,,,,,,,
37,*OCCOC*,False,1,False,353.0,1.4327557,0.00151498845,2.49350166e-07,1.9395373700000002e-07,2.50529398e-07,0.416883393,0.43816638,0.0018580680900000001,1.3016363
38,*NCC=CCN*,False,1,True,,,,,,,,,,
