mol_smiles	conductivity
NC(=O)CSCC(CO[Cu])OC(=O)[Au]	1
CCC(F)C(=O)NC(CO[Cu])COC(=O)[Au]	0
CCSCCN(CCN[Cu])CCOC(=O)[Au]	1
C#CCN(CCOCCO[Cu])CCOC(=O)[Au]	1
CCC(COC(=O)[Au])C(=O)NCCO[Cu]	0
CC(CCOC(=O)[Au])SCCO[Cu]	1
CN(CCNC(=O)COC(=O)[Au])CCO[Cu]	1
CN(CCO[Cu])C(=O)CCOC(=O)[Au]	1
CCC(C)C(NC(=O)[Au])C(=O)NC(C)CN[Cu]	0
CCS(C)(=O)=NC(=O)C(CN[Cu])OC(=O)[Au]	0
C=CC(CNCCCOCCOC(=O)[Au])O[Cu]	1
CCC(=O)CNC(=O)C(CN[Cu])OC(=O)[Au]	0
CC(CCO[Cu])N(C)CCCCCOC(=O)[Au]	1
CC(C)CNC(CO[Cu])COC(=O)[Au]	0
NC(=O)CCC(=O)NCC(CO[Cu])OC(=O)[Au]	1
CCC(N[Cu])C(=O)NC(C)CCCOC(=O)[Au]	0
O=C(CCO[Cu])NCCNCCOC(=O)[Au]	1
O=C(CCOC(=O)[Au])NCC(CF)O[Cu]	0
O=C([Au])OCC(COC(=O)CCS)O[Cu]	0
CC(CSCCOCCO[Cu])OC(=O)[Au]	1
CN(CCCCOC(=O)[Au])CCOCCO[Cu]	1
CC(C)(COC(=O)[Au])NCC(O[Cu])C(C)(C)C	0
C=C(COC(=O)[Au])C(=O)NCCOCCO[Cu]	1
C=CC(CNC(C)CCOC(=O)[Au])O[Cu]	0
O=C([Au])OCCN(CCO[Cu])CC(F)F	1
CN(CCCO[Cu])C(=O)C(C)(C)COC(=O)[Au]	0
CN(CCCO[Cu])CCCOC(=O)[Au]	1
CCC(C)C(N[Cu])C(=O)N(C)CCNC(=O)[Au]	0
COCC(CN(C)CCO[Cu])OC(=O)[Au]	1
O=C([Au])OCCN(CCF)CCO[Cu]	1
COCCC(=O)NCC(CNC(=O)[Au])O[Cu]	1
CC(NC(=O)[Au])C(=O)NC(CO[Cu])CC(F)F	0
COCCOCCNCC(COC(=O)[Au])O[Cu]	1
CC#CCCCC(=O)NCC(COC(=O)[Au])O[Cu]	0
C=CCCC(CNCCC(C)NC(=O)[Au])O[Cu]	0
C=CCN(C)CC(COC(=O)[Au])O[Cu]	1
O=C([Au])OCCOCCCCOCCO[Cu]	1
C=CC(C)(C)C(=O)NCC(CO[Cu])OC(=O)[Au]	0
O=C([Au])OCCCO[Cu]	1
